Date,^DJI,^FCHI,^FTSE,^GSPC,^HSI,^IXIC,^N225,^STOXX50E
2024-03-07,38791.3515625,8016.22021484375,7692.5,5157.35986328125,16229.7802734375,16273.3798828125,39598.7109375,4974.22021484375
2024-03-08,38722.69140625,8028.009765625,7659.7001953125,5123.68994140625,16353.3896484375,16085.1103515625,39688.94140625,4961.10986328125
2024-03-11,38769.66015625,8019.72998046875,7669.2001953125,5117.93994140625,16587.5703125,16019.26953125,38820.48828125,4930.419921875
2024-03-12,39005.48828125,8087.47998046875,7747.7998046875,5175.27001953125,17093.5,16265.6396484375,38797.51171875,4983.2001953125
2024-03-13,39043.3203125,8137.580078125,7772.2001953125,5165.31005859375,17082.109375,16177.76953125,38695.96875,5000.5498046875
2024-03-14,38905.66015625,8161.419921875,7743.2001953125,5150.47998046875,16961.66015625,16128.5302734375,38807.37890625,4993.1201171875
2024-03-15,38714.76953125,8164.35009765625,7727.39990234375,5117.08984375,16720.890625,15973.169921875,38707.640625,4986.02001953125
2024-03-18,38790.4296875,8148.14013671875,7722.60009765625,5149.419921875,16737.119140625,16103.4501953125,39740.44140625,4982.759765625
2024-03-19,39110.76171875,8201.0498046875,7738.2998046875,5178.509765625,16529.48046875,16166.7900390625,40003.6015625,5007.919921875
2024-03-20,39512.12890625,8161.41015625,7737.39990234375,5224.6201171875,16543.0703125,16369.41015625,,5000.31005859375
2024-03-21,39781.37109375,8179.72021484375,7882.60009765625,5241.52978515625,16863.099609375,16401.83984375,40815.66015625,5052.31005859375
2024-03-22,39475.8984375,8151.919921875,7930.89990234375,5234.18017578125,16499.470703125,16428.8203125,40888.4296875,5031.14990234375
2024-03-25,39313.640625,8151.60009765625,7917.60009765625,5218.18994140625,16473.640625,16384.470703125,40414.12109375,5044.18994140625
2024-03-26,39282.328125,8184.75,7931.0,5203.580078125,16618.3203125,16315.7001953125,40398.03125,5064.18017578125
2024-03-27,39760.078125,8204.8095703125,7932.0,5248.490234375,16392.83984375,16399.51953125,40762.73046875,5081.740234375
2024-03-28,39807.37109375,8205.8095703125,7952.60009765625,5254.35009765625,16541.419921875,16379.4599609375,40168.0703125,5083.419921875
2024-03-29,,,,,,,40369.44140625,
2024-04-01,39566.8515625,,,5243.77001953125,,16396.830078125,39803.08984375,
2024-04-02,39170.23828125,8130.0498046875,7935.10009765625,5205.81005859375,16931.51953125,16240.4501953125,39838.91015625,5042.0
2024-04-03,39127.140625,8153.22998046875,7937.39990234375,5211.490234375,16725.099609375,16277.4599609375,39451.8515625,5069.25
2024-04-04,38596.98046875,8151.5498046875,7975.89990234375,5147.2099609375,,16049.080078125,39773.140625,5070.759765625
2024-04-05,38904.0390625,8061.31005859375,7911.2001953125,5204.33984375,16723.919921875,16248.51953125,38992.078125,5014.75
2024-04-08,38892.80078125,8119.2998046875,7943.5,5202.39013671875,16732.849609375,16253.9599609375,39347.0390625,5046.0498046875
2024-04-09,38883.671875,8049.169921875,7934.7998046875,5209.91015625,16828.0703125,16306.6396484375,39773.12890625,4990.89990234375
2024-04-10,38461.51171875,8045.3798828125,7961.2001953125,5160.64013671875,17139.169921875,16170.3603515625,39581.80859375,5000.830078125
2024-04-11,38459.078125,8023.740234375,7923.7998046875,5199.06005859375,17095.029296875,16442.19921875,39442.62890625,4966.68017578125
2024-04-12,37983.23828125,8010.830078125,7995.60009765625,5123.41015625,16721.689453125,16175.08984375,39523.55078125,4955.009765625
2024-04-15,37735.109375,8045.10986328125,7965.5,5061.81982421875,16600.4609375,15885.01953125,39232.80078125,4984.47998046875
2024-04-16,37798.96875,7932.60986328125,7820.39990234375,5051.41015625,16248.9697265625,15865.25,38471.19921875,4916.990234375
2024-04-17,37753.30859375,7981.509765625,7848.0,5022.2099609375,16251.83984375,15683.3701171875,37961.80078125,4914.1298828125
2024-04-18,37775.37890625,8023.259765625,7877.10009765625,5011.1201171875,16385.869140625,15601.5,38079.69921875,4936.56982421875
2024-04-19,37986.3984375,8022.41015625,7895.89990234375,4967.22998046875,16224.1396484375,15282.009765625,37068.3515625,4918.08984375
2024-04-22,38239.98046875,8040.35986328125,8023.89990234375,5010.60009765625,16511.689453125,15451.3095703125,37438.609375,4936.85009765625
2024-04-23,38503.69140625,8105.77978515625,8044.7998046875,5070.5498046875,16828.9296875,15696.6396484375,37552.16015625,5008.169921875
2024-04-24,38460.921875,8091.85986328125,8040.39990234375,5071.6298828125,17201.26953125,15712.75,38460.078125,4989.8798828125
2024-04-25,38085.80078125,8016.64990234375,8078.89990234375,5048.419921875,17284.5390625,15611.759765625,37628.48046875,4939.009765625
2024-04-26,38239.66015625,8088.240234375,8139.7998046875,5099.9599609375,17651.150390625,15927.900390625,37934.76171875,5006.85009765625
2024-04-29,38386.08984375,8065.14990234375,8147.0,5116.169921875,17746.91015625,15983.080078125,,4981.08984375
2024-04-30,37815.921875,7984.93017578125,8144.10009765625,5035.68994140625,17763.029296875,15657.8203125,38405.66015625,4921.22021484375
2024-05-01,37903.2890625,,8121.2001953125,5018.39013671875,,15605.48046875,38274.05078125,
2024-05-02,38225.66015625,7914.64990234375,8172.2001953125,5064.2001953125,18207.130859375,15840.9599609375,38236.0703125,4890.60986328125
2024-05-03,38675.6796875,7957.56982421875,8213.5,5127.7900390625,18475.919921875,16156.330078125,,4921.47998046875
2024-05-06,38852.26953125,7996.64013671875,,5180.740234375,18578.30078125,16349.25,,4956.9599609375
2024-05-07,38884.26171875,8075.68017578125,8313.7001953125,5187.7001953125,18479.369140625,16332.5595703125,38835.1015625,5016.10009765625
2024-05-08,39056.390625,8131.41015625,8354.099609375,5187.669921875,18313.859375,16302.759765625,38202.37109375,5038.169921875
2024-05-09,39387.76171875,8187.64990234375,8381.400390625,5214.080078125,18537.810546875,16346.259765625,38073.98046875,
